No.,Order,CGS,,,MGS,,,H,,,G
,,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err
53,1432,1.3769e-11,0.896,6.0208e-16,1.3769e-11,0.974,6.0208e-16,1.4532e-13,2.476,2.4832e-15,2.1697e-13,2.035,4.3024e-15
54,1729,3.2531e-11,1.750,6.1855e-16,3.2531e-11,1.953,6.1855e-16,1.7612e-13,5.830,2.7062e-15,2.6303e-13,4.395,4.7505e-15
55,1418,1.4217e-11,0.887,5.9482e-16,1.4217e-11,1.036,5.9482e-16,1.4354e-13,2.574,2.5026e-15,2.1882e-13,1.982,4.3790e-15
56,1848,4.2333e-11,2.023,6.2866e-16,4.2333e-11,2.392,6.2866e-16,1.8761e-13,6.389,2.7984e-15,2.8100e-13,4.556,5.0451e-15
57,765,1.2548e-12,0.135,1.9196e+00,1.2548e-12,0.140,1.9196e+00,7.8984e-14,0.132,1.8875e-15,1.1470e-13,0.298,3.2300e-15
58,1773,4.0892e-11,1.874,6.1876e-16,4.0892e-11,2.268,6.1876e-16,1.8085e-13,6.046,2.9038e-15,2.6682e-13,4.018,4.9122e-15
59,1670,2.7015e-11,1.544,6.1506e-16,2.7015e-11,1.712,6.1506e-16,1.7150e-13,4.559,2.8221e-15,2.5546e-13,3.373,4.7921e-15
60,1014,3.3356e-12,0.292,9.4449e-01,3.3356e-12,0.330,9.4449e-01,1.0526e-13,0.577,2.2637e-15,1.5287e-13,0.639,3.6178e-15
61,1450,1.6591e-11,0.965,5.9767e-16,1.6591e-11,1.084,5.9767e-16,1.4673e-13,4.306,2.6069e-15,2.2204e-13,2.182,4.6643e-15
62,844,1.9411e-12,0.175,5.5157e-16,1.9411e-12,0.187,5.5157e-16,8.6397e-14,0.255,2.0305e-15,1.2948e-13,0.362,3.4367e-15
63,1557,2.1291e-11,1.275,6.0927e-16,2.1291e-11,1.386,6.0927e-16,1.5432e-13,3.718,2.5337e-15,2.3866e-13,2.910,4.5664e-15
64,1589,2.1531e-11,1.331,6.0835e-16,2.1531e-11,1.473,6.0835e-16,1.5913e-13,4.668,2.5576e-15,2.4179e-13,3.331,4.6095e-15
65,1936,6.5404e-11,2.370,6.2660e-16,6.5404e-11,2.821,6.2660e-16,1.9442e-13,10.074,2.8797e-15,2.9676e-13,5.498,5.1410e-15
66,1741,3.3741e-11,1.842,6.1632e-16,3.3741e-11,1.960,6.1632e-16,1.7593e-13,6.919,2.6958e-15,2.6727e-13,4.108,5.0451e-15
67,1102,5.5230e-12,0.377,5.9021e-01,5.5230e-12,0.413,5.9021e-01,1.1154e-13,0.898,2.2519e-15,1.6762e-13,0.874,3.8080e-15
68,1013,3.4109e-12,0.304,8.7343e-01,3.4109e-12,0.283,8.7343e-01,1.0210e-13,0.636,2.0709e-15,1.5808e-13,0.744,3.7899e-15
69,931,2.4784e-12,0.221,8.0267e-01,2.4784e-12,0.215,8.0267e-01,9.3856e-14,0.327,1.9794e-15,1.4159e-13,0.498,3.6905e-15
70,991,3.2162e-12,0.292,4.8286e-02,3.2162e-12,0.282,4.8286e-02,9.9637e-14,0.452,1.9893e-15,1.5217e-13,0.607,3.6009e-15
71,1412,1.2882e-11,0.864,5.9568e-16,1.2882e-11,1.046,5.9568e-16,1.4272e-13,3.767,2.4808e-15,2.1485e-13,1.993,4.3953e-15
72,1598,2.0343e-11,1.383,6.1130e-16,2.0343e-11,1.588,6.1130e-16,1.6193e-13,4.266,2.6399e-15,2.4523e-13,3.269,4.7476e-15
73,639,8.1103e-13,0.101,5.3075e-16,8.1103e-13,0.102,5.3075e-16,6.7717e-14,0.068,1.8012e-15,9.8460e-14,0.168,2.9283e-15
74,639,8.1103e-13,0.104,5.3142e-16,8.1103e-13,0.104,5.3142e-16,6.7717e-14,0.104,1.8012e-15,9.8460e-14,0.160,2.9283e-15
75,1919,5.1250e-11,2.506,6.2864e-16,5.1250e-11,2.948,6.2864e-16,1.9245e-13,7.928,2.8309e-15,2.9239e-13,5.368,5.1066e-15
76,1033,4.3683e-12,0.353,1.4481e+00,4.3683e-12,0.306,1.4481e+00,1.0379e-13,0.789,2.1168e-15,1.5660e-13,0.707,3.8766e-15
77,1962,6.3580e-11,2.602,6.3038e-16,6.3580e-11,2.908,6.3038e-16,1.9739e-13,8.316,2.8782e-15,3.0136e-13,5.779,5.1904e-15
78,1336,1.0918e-11,0.850,1.9583e-01,1.0918e-11,0.828,1.9583e-01,1.3695e-13,4.200,2.5248e-15,2.0279e-13,1.743,4.2844e-15
79,1934,5.1612e-11,2.800,6.3295e-16,5.1612e-11,3.286,6.3295e-16,1.9664e-13,7.528,2.9172e-15,2.9753e-13,5.508,5.0787e-15
80,1953,6.5213e-11,2.760,6.2559e-16,6.5213e-11,3.203,6.2559e-16,1.9838e-13,10.865,2.9384e-15,2.9641e-13,5.511,5.1432e-15
81,1474,1.7220e-11,0.999,6.0285e-16,1.7220e-11,1.080,6.0285e-16,1.4989e-13,3.185,2.5710e-15,2.2883e-13,2.370,4.4630e-15
82,600,6.4447e-13,0.084,5.2475e-16,6.4447e-13,0.081,5.2475e-16,6.1410e-14,0.061,1.6489e-15,8.8999e-14,0.138,2.8573e-15
83,1913,5.3887e-11,2.351,6.2950e-16,5.3887e-11,3.150,6.2950e-16,1.9287e-13,7.440,2.8906e-15,2.9082e-13,5.630,5.2141e-15
