No.,Order,CGS,,,MGS,,,H,,,G
,,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err
57,1535,0.0000e+00,3.116,6.0301e-16,0.0000e+00,2.965,6.0301e-16,0.0000e+00,0.851,1.4300e+00,0.0000e+00,2.056,1.4150e+00
58,533,0.0000e+00,0.113,5.1632e-16,0.0000e+00,0.139,5.1632e-16,0.0000e+00,0.034,1.4753e+00,0.0000e+00,0.112,1.4055e+00
59,1683,0.0000e+00,4.005,6.1095e-16,0.0000e+00,4.093,6.1095e-16,0.0000e+00,1.980,1.4298e+00,0.0000e+00,3.182,1.4136e+00
60,1102,0.0000e+00,1.177,5.6975e-16,0.0000e+00,1.070,5.6975e-16,0.0000e+00,0.733,1.4423e+00,0.0000e+00,0.713,1.4167e+00
61,834,0.0000e+00,0.462,5.5226e-16,0.0000e+00,0.467,5.5226e-16,0.0000e+00,0.159,1.4602e+00,0.0000e+00,0.317,1.4147e+00
62,1957,0.0000e+00,6.156,6.2970e-16,0.0000e+00,7.463,6.2970e-16,0.0000e+00,3.723,1.4291e+00,0.0000e+00,4.897,1.4134e+00
63,777,0.0000e+00,0.413,5.4710e-16,0.0000e+00,0.395,5.4710e-16,0.0000e+00,0.119,1.4615e+00,0.0000e+00,0.276,1.4122e+00
64,1398,0.0000e+00,2.281,5.9718e-16,0.0000e+00,2.440,5.9718e-16,0.0000e+00,1.119,1.4362e+00,0.0000e+00,1.552,1.4150e+00
65,1617,0.0000e+00,3.696,6.0892e-16,0.0000e+00,3.702,6.0892e-16,0.0000e+00,1.018,1.4330e+00,0.0000e+00,2.490,1.4169e+00
66,1618,0.0000e+00,3.544,6.1201e-16,0.0000e+00,3.531,6.1201e-16,0.0000e+00,1.100,1.4339e+00,0.0000e+00,2.313,1.4146e+00
67,1736,0.0000e+00,4.452,6.1997e-16,0.0000e+00,4.504,6.1997e-16,0.0000e+00,1.393,1.4291e+00,0.0000e+00,2.942,1.4144e+00
68,1527,0.0000e+00,3.480,6.0471e-16,0.0000e+00,3.033,6.0471e-16,0.0000e+
